Emotion,Path
happiness,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/15a04Fd.wav
happiness,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/13b02Fb.wav
anger,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/09b01Wb.wav
anger,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/15a01Wa.wav
anger,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/14a05Wa.wav
anxiety,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/03a05Aa.wav
anger,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/11a04Wc.wav
sadness,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/09a05Tb.wav
anger,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/12a01Wc.wav
anger,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/12a04Wc.wav
boredom,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/09a04La.wav
neutral,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/08b02Nb.wav
anger,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/12b10Wa.wav
boredom,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/15a07Ld.wav
boredom,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/10a07La.wav
happiness,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/11a05Fb.wav
neutral,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/03b01Nb.wav
disgust,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/12b02Ea.wav
anxiety,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/08a01Ab.wav
anxiety,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/10a01Ac.wav
anger,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/12a02Wa.wav
happiness,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/14a02Fd.wav
anger,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/09a04Wa.wav
anger,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/03b01Wa.wav
neutral,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/15a04Nc.wav
boredom,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/09a05Lc.wav
disgust,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/14a01Ea.wav
boredom,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/09a02La.wav
neutral,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/15b03Nb.wav
anger,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/14b02Wb.wav
anxiety,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/12a07Ac.wav
anger,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/11b01Wd.wav
anger,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/08a07Wc.wav
boredom,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/08a02La.wav
happiness,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/08b03Fe.wav
sadness,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/13b03Td.wav
