Path,Emotion
/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/15a04Fd.wav,happiness
/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/13b02Fb.wav,happiness
/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/09b01Wb.wav,anger
/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/15a01Wa.wav,anger
/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/14a05Wa.wav,anger
/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/03a05Aa.wav,anxiety/fear
/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/11a04Wc.wav,anger
/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/09a05Tb.wav,sadness
/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/12a01Wc.wav,anger
/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/12a04Wc.wav,anger
/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/09a04La.wav,boredom
/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/08b02Nb.wav,neutral
/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/12b10Wa.wav,anger
/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/15a07Ld.wav,boredom
/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/10a07La.wav,boredom
/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/11a05Fb.wav,happiness
/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/03b01Nb.wav,neutral
/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/12b02Ea.wav,disgust
/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/08a01Ab.wav,anxiety/fear
/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/10a01Ac.wav,anxiety/fear
/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/12a02Wa.wav,anger
/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/14a02Fd.wav,happiness
/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/09a04Wa.wav,anger
/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/03b01Wa.wav,anger
/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/15a04Nc.wav,neutral
/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/09a05Lc.wav,boredom
/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/14a01Ea.wav,disgust
/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/09a02La.wav,boredom
/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/15b03Nb.wav,neutral
/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/14b02Wb.wav,anger
/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/12a07Ac.wav,anxiety/fear
/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/11b01Wd.wav,anger
/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/08a07Wc.wav,anger
/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/08a02La.wav,boredom
/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/08b03Fe.wav,happiness
/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/13b03Td.wav,sadness
/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/16b03Wb.wav,anger
/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/09b03Fd.wav,happiness
/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/09a04Fd.wav,happiness
